Id,Predicted
d14cb73158624cf094c546d856fd3c80,BMW 코리아 25주년 에디션(이하 25주년 에디션)
906631384e91493ebe1c7f34aea6f241,144
35e61dcb479643448a2cb7d326ae50a6,미국 컨설팅 업체인 베인&컴퍼니
075e761b370040cb9041eecd39afc27c,미국 컨설팅 업체인 베인&컴퍼니
e67ed38f3dd944be94d5b4c53731f334,마드리드
80cacfdfe76442b0b39568e8b193d066,원자재값 하락은 해외펀드 수익률에도 악영향
78a80cca941c46379a5c65b2f1392f7c,코레일의 용산 개발사업 지분율은 25%
5c19b9781f8a4f0faa9045274c38a8b4,"관광부는 전 세계적으로 어려운 시기에, 안전을 우선적으로 고려하여 가이드라인을 마련"
d2844b7141cb4a2594d433e9c1e5cd0c,실란 증기에 몇 초만 쪼여도 셀룰로오스의 히드록시기와 반응하여 천 위를 덮어서 방수성을 준다. 실리콘 고무는 오르가노폴리실록산에 산화 아연이나 카본블랙 등의 무기 충전제와 경화제를 혼합시켜 성형 후 가열하여 만들어진다.
be39b91f52a04b0aaafc96ff505cb2fc,스웨덴과 같이 핀란드는 점령을 포기했지만 나치 독일과 소련
98fe72c173f642e29f9284f1769fd4f6,오리온은 올 2월부터 ‘착한 포장’
1756f8a643124b52aa773a0f38b7b6fa,필리핀
1f1ef695105049079e093bae6f4ad8e7,주현미가 장조 트로트로 인기를 얻기 전까지 약 50년 이상 한국에서 대중가요의 주류를 이룬 단조 트로트의 시대를 본격적으로 연 곡이라 의미가 깊다. 전수린은 〈황성의 적〉의 성공 이후 김교성과 함께 1930년대 초중반을 대표
acbc4be5f9d04b76a30451f8c6baf277,"랑콤, 키엘, 비오템, 슈에무라 등 수입 화장품 브랜드들"
393657048abd435b9059b00ed54dcc47,르네상스 인문주의 시기의 학자들은 교회의 타락에 대해 비판하였다. 에라스무스는 《우신예찬》
08ee8dae9f6744cf91d79e0782426d33,보헤미아 왕국의 얀 후스는 존 위클리프
0fd8aca8b9844e3d85e0379272600e3b,"공의회
 이 부분의 본문은 서방 교회의 분열입니다.
1377년 교황 그레고리오 11세가 로마로 귀환하면서, 아비뇽 유수기가 종료되었다. 1378년 그레고리오 11세가 선종하자 로마에서는 교황 우르바노 6세가 새 교황으로 선출된다. 하지만 프랑스의 추기경들은 이는 무효라고 선언하면서, 제네바 출신의 대립교황 클레멘스 7세를 대립 교황으로 선출하였다. 이로써 로마와 아비뇽 양 쪽에서 교황이 존재하는 서방 교회의 분열이 1418"
fa773f05fd224cbab0327d1459e38f8a,서울지하철
89810801a2f446ef9ea0b74cdc478f3c,송두환
30a8f6b62fa142209b241d35e308002b,경희대 음대
4957b7070c3a463aaac97f0255ed0ab0,블랙야크키즈
28b135ddc9374d0083abb9cf3d804017,키프로스 섬
f544beba8dcb47f18d736f0ce69e28c0,독일의 한 마을
f7404b2ebbe64cdb803ab288ab0cf2d3,"제파 디 미노는 그 사실을 알게 되어, 친구에게 복수할 꾀를 낸다"
c9a926ce025a45fa9ba655be4e613c8e,귈리엘
c2d94349ad524ef9acefbd092d75395b,"아가미와 어류같은 두개골, 그리고 물고기의 꼬리지느러미를 가지고 있었지만 클레이트룸/견갑골이 있어 두개골과 분리된 팔이음뼈를 가지고 이것으로 상체의 몸무게를 지탱했다는 초기의 형태라도 리피디스탄 어류와는 쉽게 구분이 가능하다"
7a7d300bdf114e328e5731ce8cb460c5,프리오노수쿠스
7d65311b295c450eb58a9abffd178f97,양막류로 이어지는 계통에서만 진화
